Transcript_ID	TE_BP	Total_Len	TE_Percentage
MSTRG.10616.1	0	212	0
MSTRG.10648.6	38	2146	1.77074
MSTRG.1065.1	0	766	0
MSTRG.1067.1	209	1559	13.406
MSTRG.10684.1	0	224	0
MSTRG.10686.1	128	421	30.4038
MSTRG.10691.2	0	4307	0
MSTRG.10694.1	0	772	0
MSTRG.10697.1	0	490	0
MSTRG.10698.1	87	2228	3.90485
MSTRG.1070.1	0	250	0
MSTRG.10702.1	0	1351	0
MSTRG.10703.1	0	243	0
MSTRG.10720.6	647	5383	12.0193
MSTRG.10743.1	0	731	0
MSTRG.10745.1	0	701	0
MSTRG.10753.1	27	805	3.35404
MSTRG.10756.1	160	659	24.2792
MSTRG.10759.1	0	314	0
MSTRG.10760.5	182	5402	3.36912
MSTRG.1078.1	0	1185	0
MSTRG.10792.2	0	336	0
MSTRG.10795.1	0	1018	0
MSTRG.10799.1	121	4333	2.79252
MSTRG.10800.1	0	993	0
MSTRG.10803.1	1291	12475	10.3487
MSTRG.10810.2	0	995	0
MSTRG.10812.1	53	1391	3.81021
MSTRG.10829.1	0	314	0
MSTRG.10830.1	0	253	0
MSTRG.10831.1	106	709	14.9506
MSTRG.10834.1	0	1365	0
MSTRG.10837.1	0	1081	0
MSTRG.10838.1	64	696	9.1954
MSTRG.10839.1	613	1296	47.2994
MSTRG.10844.4	0	1302	0
MSTRG.10867.1	0	601	0
MSTRG.10868.1	0	1671	0
MSTRG.10870.1	0	735	0
MSTRG.10877.1	150	2592	5.78704
MSTRG.10883.1	0	331	0
MSTRG.10901.4	353	5233	6.74565
MSTRG.10905.4	128	1995	6.41604
MSTRG.10910.1	0	1064	0
MSTRG.1094.1	0	2062	0
MSTRG.1095.1	16	938	1.70576
MSTRG.10956.1	0	1340	0
MSTRG.10960.1	0	767	0
MSTRG.1096.2	520	5379	9.66722
MSTRG.10967.1	0	306	0
MSTRG.10972.1	671	1935	34.677
MSTRG.10974.1	95	391	24.2967
MSTRG.10984.1	241	242	99.5868
MSTRG.10988.2	0	1369	0
MSTRG.10994.1	158	1389	11.3751
MSTRG.1.1	286	1378	20.7547
MSTRG.11005.2	0	577	0
MSTRG.110.1	0	529	0
MSTRG.11014.1	0	828	0
MSTRG.11030.1	0	602	0
MSTRG.11037.1	0	1208	0
MSTRG.11040.1	0	599	0
MSTRG.11046.1	0	929	0
MSTRG.11054.1	0	380	0
MSTRG.1106.1	132	1617	8.16327
MSTRG.11065.1	0	569	0
MSTRG.11068.1	0	338	0
MSTRG.11072.1	0	1626	0
MSTRG.11073.1	0	2816	0
MSTRG.11077.2	41	796	5.15075
MSTRG.11087.2	0	250	0
MSTRG.11088.1	0	306	0
MSTRG.11097.1	0	828	0
MSTRG.11098.1	0	1293	0
MSTRG.11099.1	0	3562	0
MSTRG.11100.1	0	224	0
MSTRG.11101.1	0	1759	0
MSTRG.11102.1	0	224	0
MSTRG.11108.6	0	2310	0
MSTRG.11109.1	0	1246	0
MSTRG.11116.1	0	468	0
MSTRG.11122.1	0	881	0
MSTRG.11125.1	0	997	0
MSTRG.11129.1	56	2025	2.76543
MSTRG.11130.1	0	279	0
MSTRG.11141.1	0	212	0
MSTRG.1115.1	0	342	0
MSTRG.11152.9	104	2130	4.88263
MSTRG.11153.2	52	3025	1.71901
MSTRG.11157.2	0	2193	0
MSTRG.11159.1	0	2479	0
MSTRG.1116.1	0	830	0
MSTRG.11161.1	113	903	12.5138
MSTRG.11178.1	0	983	0
MSTRG.1118.1	111	1030	10.7767
MSTRG.11186.6	0	3213	0
MSTRG.11188.2	0	1028	0
MSTRG.11202.1	0	231	0
MSTRG.11216.1	0	227	0
MSTRG.11226.1	0	213	0
MSTRG.11229.1	0	1772	0
MSTRG.11230.2	42	1694	2.47934
MSTRG.11234.1	0	1401	0
MSTRG.11236.6	228	4749	4.80101
MSTRG.11250.1	0	1339	0
MSTRG.1125.1	0	644	0
MSTRG.11259.1	0	2062	0
MSTRG.1127.1	73	971	7.51802
MSTRG.11283.1	0	2429	0
MSTRG.11288.1	0	861	0
MSTRG.11318.1	42	1411	2.97661
MSTRG.11324.2	0	408	0
MSTRG.11343.1	77	1283	6.00156
MSTRG.11347.3	0	2865	0
MSTRG.11353.1	108	956	11.2971
MSTRG.11354.1	0	2514	0
MSTRG.11359.1	0	966	0
MSTRG.1136.3	41	1615	2.5387
MSTRG.11376.1	0	383	0
MSTRG.11380.3	0	1977	0
MSTRG.11387.1	0	2047	0
MSTRG.11392.3	0	2832	0
MSTRG.11405.2	0	819	0
MSTRG.11407.1	0	217	0
MSTRG.11410.1	0	1198	0
MSTRG.11413.1	0	529	0
MSTRG.11445.8	51	4237	1.20368
MSTRG.11454.1	0	237	0
MSTRG.11457.1	119	1083	10.988
MSTRG.11460.1	0	1402	0
MSTRG.11467.1	0	1720	0
MSTRG.11480.1	70	1755	3.9886
MSTRG.11495.1	0	427	0
MSTRG.11498.1	155	2037	7.60923
MSTRG.1150.1	0	1342	0
MSTRG.11509.1	0	544	0
MSTRG.11518.2	0	461	0
MSTRG.11519.1	117	887	13.1905
MSTRG.11528.1	0	1029	0
MSTRG.11537.1	0	419	0
MSTRG.11538.1	0	267	0
MSTRG.11541.1	0	3099	0
MSTRG.11542.1	0	402	0
MSTRG.11549.1	0	279	0
MSTRG.11556.1	72	869	8.28539
MSTRG.11558.1	0	247	0
MSTRG.11566.3	0	1903	0
MSTRG.11572.1	0	2087	0
MSTRG.11578.1	0	1672	0
MSTRG.11580.1	107	1631	6.56039
MSTRG.11588.4	78	444	17.5676
MSTRG.11592.1	221	221	100
MSTRG.11593.1	360	583	61.7496
MSTRG.11609.1	0	531	0
MSTRG.1161.1	302	1419	21.2826
MSTRG.11613.3	115	2265	5.07726
MSTRG.11617.2	0	602	0
MSTRG.11618.1	375	894	41.9463
MSTRG.11621.1	0	949	0
MSTRG.11623.1	0	212	0
MSTRG.11626.1	211	308	68.5065
MSTRG.1163.1	13	285	4.5614
MSTRG.11631.1	0	368	0
MSTRG.11635.10	0	2099	0
MSTRG.11645.1	83	1552	5.34794
MSTRG.11649.1	0	218	0
MSTRG.11674.1	0	320	0
MSTRG.11680.1	0	1191	0
MSTRG.11686.1	73	3865	1.88875
MSTRG.11706.1	0	220	0
MSTRG.11708.1	38	990	3.83838
MSTRG.11709.1	0	681	0
MSTRG.11719.1	0	586	0
MSTRG.11734.1	0	1233	0
MSTRG.11738.1	226	1178	19.1851
MSTRG.11742.1	0	336	0
MSTRG.11747.1	61	1672	3.64833
MSTRG.11751.1	0	254	0
MSTRG.11765.1	0	2014	0
MSTRG.11768.1	149	823	18.1045
MSTRG.11775.1	0	2493	0
MSTRG.11778.2	0	1951	0
MSTRG.1178.1	0	967	0
MSTRG.11785.1	103	683	15.0805
MSTRG.11794.5	338	1302	25.9601
MSTRG.11808.1	0	2692	0
MSTRG.11809.1	0	291	0
MSTRG.11821.1	26	2287	1.13686
MSTRG.11828.2	0	448	0
MSTRG.11838.1	429	2183	19.6519
MSTRG.11841.1	72	268	26.8657
MSTRG.11849.2	0	5146	0
MSTRG.11851.1	0	1598	0
MSTRG.11855.1	39	2600	1.5
MSTRG.11883.1	0	1816	0
MSTRG.11884.1	0	306	0
MSTRG.11885.1	0	1174	0
MSTRG.11886.1	0	232	0
MSTRG.11897.1	0	763	0
MSTRG.11898.1	0	508	0
MSTRG.1190.1	0	1452	0
MSTRG.11901.1	0	509	0
MSTRG.11903.1	0	1226	0
MSTRG.11904.1	0	1517	0
MSTRG.11905.1	0	1172	0
MSTRG.11906.1	110	5658	1.94415
MSTRG.11907.1	144	11595	1.24191
MSTRG.11908.1	0	274	0
MSTRG.11909.1	144	2721	5.29217
MSTRG.11926.1	128	1664	7.69231
MSTRG.11927.1	0	1463	0
MSTRG.11928.1	0	478	0
MSTRG.11936.1	0	569	0
MSTRG.11937.1	59	1912	3.08577
MSTRG.11938.1	0	1096	0
MSTRG.11939.1	0	1048	0
MSTRG.11944.1	61	2171	2.80977
MSTRG.11955.3	0	8245	0
MSTRG.11963.1	0	2993	0
MSTRG.11982.1	0	269	0
MSTRG.1199.1	0	946	0
MSTRG.11991.1	0	489	0
MSTRG.11992.2	0	993	0
MSTRG.11999.1	93	995	9.34673
MSTRG.12000.1	0	1879	0
MSTRG.12005.1	0	739	0
MSTRG.12010.1	0	342	0
MSTRG.12023.1	0	703	0
MSTRG.12025.1	45	3978	1.13122
MSTRG.12031.2	0	1522	0
MSTRG.12043.2	75	3469	2.16201
MSTRG.12048.3	0	427	0
MSTRG.12056.1	0	811	0
MSTRG.1208.1	0	543	0
MSTRG.12083.1	0	677	0
MSTRG.12085.1	0	287	0
MSTRG.12090.1	0	1832	0
MSTRG.12099.1	0	344	0
MSTRG.12108.1	0	1639	0
MSTRG.12111.1	0	1136	0
MSTRG.12112.2	0	3288	0
MSTRG.12113.1	0	459	0
MSTRG.12114.1	0	1894	0
MSTRG.12138.1	0	239	0
MSTRG.12139.1	0	2147	0
MSTRG.12150.1	49	4379	1.11898
MSTRG.12157.1	0	4119	0
MSTRG.12165.1	0	206	0
MSTRG.12166.1	0	2249	0
MSTRG.12181.1	0	513	0
MSTRG.12186.1	0	777	0
MSTRG.1220.1	18	293	6.14334
MSTRG.122.1	38	1287	2.9526
MSTRG.12214.1	0	1124	0
MSTRG.12219.1	0	443	0
MSTRG.12220.1	0	204	0
MSTRG.12230.1	0	865	0
MSTRG.12232.1	0	243	0
MSTRG.12237.1	259	1346	19.2422
MSTRG.1224.1	0	2080	0
MSTRG.12245.1	0	282	0
MSTRG.12246.1	77	3371	2.28419
MSTRG.12259.1	0	331	0
MSTRG.12260.1	0	556	0
MSTRG.12261.1	0	258	0
MSTRG.12262.1	0	2341	0
MSTRG.12269.1	0	2394	0
MSTRG.12272.1	0	390	0
MSTRG.12278.1	0	1512	0
MSTRG.12288.1	0	870	0
MSTRG.12294.2	41	5619	0.729667
MSTRG.12295.3	41	3864	1.06108
MSTRG.12297.1	0	446	0
MSTRG.12304.1	550	4883	11.2636
MSTRG.12309.1	0	722	0
MSTRG.123.1	0	409	0
MSTRG.12316.1	0	1007	0
MSTRG.12325.1	0	2696	0
MSTRG.12329.1	0	267	0
MSTRG.12336.1	0	1042	0
MSTRG.12337.1	0	2905	0
MSTRG.12338.1	58	2891	2.00623
MSTRG.12339.1	58	4116	1.40914
MSTRG.12340.3	0	2330	0
MSTRG.12367.3	0	1091	0
MSTRG.12370.1	0	385	0
MSTRG.12375.1	0	610	0
MSTRG.12384.1	0	1481	0
MSTRG.12391.1	151	3863	3.90888
MSTRG.12393.3	0	1613	0
MSTRG.1240.1	255	468	54.4872
MSTRG.12403.2	0	780	0
MSTRG.12415.1	30	658	4.55927
MSTRG.12416.1	41	1377	2.97749
MSTRG.12425.1	0	333	0
MSTRG.12426.1	0	886	0
MSTRG.12429.3	151	3270	4.61774
MSTRG.12444.1	0	504	0
MSTRG.12445.1	0	407	0
MSTRG.12452.2	0	1057	0
MSTRG.12454.1	0	1178	0
MSTRG.1246.1	0	877	0
MSTRG.12470.1	0	896	0
MSTRG.12481.1	0	343	0
MSTRG.12486.1	0	537	0
MSTRG.1249.1	0	294	0
MSTRG.12496.1	0	1013	0
MSTRG.12497.1	0	231	0
MSTRG.125.3	0	512	0
MSTRG.12540.3	0	321	0
MSTRG.12554.2	164	2450	6.69388
MSTRG.12555.1	134	741	18.0837
MSTRG.1256.1	0	728	0
MSTRG.12563.1	0	217	0
MSTRG.12567.1	0	1836	0
MSTRG.12591.1	65	1516	4.2876
MSTRG.12592.1	112	1462	7.66074
MSTRG.12600.2	743	1705	43.5777
MSTRG.12606.3	0	1426	0
MSTRG.12608.7	55	1698	3.2391
MSTRG.12609.3	0	506	0
MSTRG.12614.1	0	4004	0
MSTRG.12615.1	250	1719	14.5433
MSTRG.1262.1	37	620	5.96774
MSTRG.1263.1	35	268	13.0597
MSTRG.12633.1	0	567	0
MSTRG.12634.1	0	466	0
MSTRG.12638.2	0	1620	0
MSTRG.12642.1	103	784	13.1378
MSTRG.12645.1	0	1099	0
MSTRG.12647.5	0	4429	0
MSTRG.12651.2	117	5040	2.32143
MSTRG.12652.1	0	428	0
MSTRG.12653.1	37	752	4.92021
MSTRG.12654.1	0	266	0
MSTRG.12655.1	0	435	0
MSTRG.12659.1	0	370	0
MSTRG.1266.1	0	454	0
MSTRG.12666.1	0	366	0
MSTRG.12675.5	41	1299	3.15627
MSTRG.12681.1	0	1000	0
MSTRG.12685.1	0	664	0
MSTRG.12686.3	0	1292	0
MSTRG.12690.1	538	5310	10.1318
MSTRG.12692.1	0	265	0
MSTRG.12693.1	0	1154	0
MSTRG.12695.2	22	409	5.37897
MSTRG.12697.1	0	3442	0
MSTRG.12698.1	0	335	0
MSTRG.12702.1	0	978	0
MSTRG.12716.1	803	1768	45.4186
MSTRG.12717.1	0	310	0
MSTRG.12718.1	0	756	0
MSTRG.1272.1	0	973	0
MSTRG.12726.5	4	808	0.49505
MSTRG.12736.1	0	397	0
MSTRG.12751.1	0	1073	0
MSTRG.12760.3	0	1144	0
MSTRG.12761.1	0	1323	0
MSTRG.12763.1	0	1787	0
MSTRG.12764.1	0	1006	0
MSTRG.12772.2	137	574	23.8676
MSTRG.12778.1	497	592	83.9527
MSTRG.12779.1	375	1531	24.4938
MSTRG.12780.3	0	4685	0
MSTRG.12781.2	0	1584	0
MSTRG.12782.7	0	5270	0
MSTRG.12790.1	0	1728	0
MSTRG.12820.1	0	1838	0
MSTRG.12831.3	276	1485	18.5859
MSTRG.12841.1	0	226	0
MSTRG.12845.1	20	1536	1.30208
MSTRG.12846.1	7	424	1.65094
MSTRG.12847.1	101	518	19.4981
MSTRG.12854.1	168	1389	12.095
MSTRG.12868.1	0	652	0
MSTRG.12869.1	0	419	0
MSTRG.12870.1	0	2458	0
MSTRG.12878.2	77	764	10.0785
MSTRG.12880.1	0	801	0
MSTRG.1288.1	0	1857	0
MSTRG.12883.1	0	736	0
MSTRG.12904.1	252	898	28.0624
MSTRG.12908.1	0	802	0
MSTRG.12909.3	0	2511	0
MSTRG.12924.1	0	1489	0
MSTRG.12933.1	0	1316	0
MSTRG.12934.1	0	306	0
MSTRG.12939.1	556	1998	27.8278
MSTRG.12941.2	0	561	0
MSTRG.12943.1	0	265	0
MSTRG.12944.1	0	446	0
MSTRG.12946.1	0	1133	0
MSTRG.12960.1	0	1088	0
MSTRG.12974.1	8	427	1.87354
MSTRG.12978.1	250	1552	16.1082
MSTRG.12980.1	0	590	0
MSTRG.12993.1	105	598	17.5585
MSTRG.12997.1	205	1285	15.9533
MSTRG.13004.1	0	327	0
MSTRG.130.1	0	352	0
MSTRG.13013.2	143	2853	5.01227
MSTRG.13037.1	9	299	3.01003
MSTRG.13040.1	63	1136	5.54577
MSTRG.13041.1	52	2328	2.23368
MSTRG.13051.1	46	886	5.19187
MSTRG.13054.1	35	631	5.54675
MSTRG.13066.1	0	1443	0
MSTRG.13068.2	217	2602	8.33974
MSTRG.1308.1	39	1365	2.85714
MSTRG.13081.1	0	408	0
MSTRG.13091.1	459	828	55.4348
MSTRG.13099.1	0	1336	0
MSTRG.13101.1	110	303	36.3036
MSTRG.13102.1	0	1029	0
MSTRG.13121.1	0	1542	0
MSTRG.13125.1	0	298	0
MSTRG.13135.1	0	1357	0
MSTRG.13166.1	0	295	0
MSTRG.13180.2	0	1313	0
MSTRG.13182.1	0	2045	0
MSTRG.13187.6	71	1970	3.60406
MSTRG.13190.1	0	1023	0
MSTRG.1319.4	0	527	0
MSTRG.13197.1	0	240	0
MSTRG.13202.2	0	1458	0
MSTRG.1321.1	43	2868	1.4993
MSTRG.1322.1	0	237	0
MSTRG.13224.1	0	224	0
MSTRG.13225.1	20	206	9.70874
MSTRG.13228.1	0	1740	0
MSTRG.132.3	73	1490	4.89933
MSTRG.13230.1	0	1819	0
MSTRG.13236.4	65	1842	3.52877
MSTRG.13238.4	59	1689	3.49319
MSTRG.13246.1	197	1578	12.4842
MSTRG.13252.1	209	5072	4.12066
MSTRG.13260.1	0	657	0
MSTRG.13271.2	243	3088	7.86917
MSTRG.13274.1	261	329	79.3313
MSTRG.13277.1	85	1592	5.3392
MSTRG.13284.1	0	300	0
MSTRG.13291.1	0	365	0
MSTRG.13298.1	47	641	7.33229
MSTRG.13302.1	24	622	3.85852
MSTRG.13304.1	53	2231	2.37562
MSTRG.133.1	0	205	0
MSTRG.13314.3	0	2129	0
MSTRG.13316.1	0	209	0
MSTRG.13321.1	0	511	0
MSTRG.13322.1	0	224	0
MSTRG.1333.1	0	653	0
MSTRG.13334.3	122	3361	3.62987
MSTRG.13350.1	0	425	0
MSTRG.1335.1	0	271	0
MSTRG.13364.1	68	2503	2.71674
MSTRG.13366.2	0	1978	0
MSTRG.13368.1	0	579	0
MSTRG.13378.2	28	507	5.52268
MSTRG.13382.1	0	305	0
MSTRG.13384.1	0	1408	0
MSTRG.13401.1	202	385	52.4675
MSTRG.13403.1	287	2074	13.838
MSTRG.13409.1	0	260	0
MSTRG.13416.1	0	288	0
MSTRG.13421.1	0	802	0
MSTRG.13431.1	0	849	0
MSTRG.13445.4	0	238	0
MSTRG.13447.1	225	342	65.7895
MSTRG.1345.1	0	356	0
MSTRG.13458.1	0	1850	0
MSTRG.13461.1	0	478	0
MSTRG.13465.1	38	1567	2.42502
MSTRG.13471.1	69	352	19.6023
MSTRG.13475.1	0	994	0
MSTRG.1348.2	0	1111	0
MSTRG.13484.3	70	379	18.4697
MSTRG.13504.1	0	472	0
MSTRG.13512.1	0	852	0
MSTRG.13519.1	33	1903	1.7341
MSTRG.13520.1	52	1061	4.90104
MSTRG.13545.1	0	3100	0
MSTRG.13547.1	0	775	0
MSTRG.13555.1	0	540	0
MSTRG.13556.1	0	226	0
MSTRG.1356.1	0	1660	0
MSTRG.13562.1	0	468	0
MSTRG.13570.2	37	1924	1.92308
MSTRG.13579.1	0	1114	0
MSTRG.13586.1	149	364	40.9341
MSTRG.13591.1	0	702	0
MSTRG.13592.1	0	246	0
MSTRG.13600.1	0	1369	0
MSTRG.13606.1	0	2596	0
MSTRG.13608.1	0	1029	0
MSTRG.136.1	0	672	0
MSTRG.13613.1	0	719	0
MSTRG.13617.1	0	1294	0
MSTRG.13620.1	0	338	0
MSTRG.1362.1	1031	1365	75.5311
MSTRG.13631.1	1311	2379	55.1072
MSTRG.13634.1	0	797	0
MSTRG.13645.1	0	1427	0
MSTRG.13666.1	0	1024	0
MSTRG.13669.1	108	1436	7.52089
MSTRG.13674.1	0	1993	0
MSTRG.13682.1	0	748	0
MSTRG.13692.1	139	281	49.4662
MSTRG.13700.2	0	1074	0
MSTRG.13704.1	53	1063	4.98589
MSTRG.13706.1	101	358	28.2123
MSTRG.1372.1	372	843	44.1281
MSTRG.13726.1	0	899	0
MSTRG.13740.3	63	1417	4.44601
MSTRG.13766.4	0	3436	0
MSTRG.13768.1	0	1840	0
MSTRG.13769.1	0	360	0
MSTRG.13770.1	176	3579	4.91757
MSTRG.1377.1	42	1657	2.5347
MSTRG.13778.1	0	1565	0
MSTRG.13786.1	0	335	0
MSTRG.13787.1	0	1111	0
MSTRG.13789.1	55	458	12.0087
MSTRG.1379.1	0	415	0
MSTRG.13792.7	0	6478	0
MSTRG.13793.1	0	563	0
MSTRG.13802.1	0	297	0
MSTRG.13804.1	0	279	0
MSTRG.13817.1	0	621	0
MSTRG.13820.1	0	1641	0
MSTRG.13830.1	54	1327	4.06933
MSTRG.13831.1	0	1085	0
MSTRG.13838.1	0	514	0
MSTRG.13844.1	0	1881	0
MSTRG.13859.1	0	325	0
MSTRG.1386.1	0	1494	0
MSTRG.13862.1	0	367	0
MSTRG.13871.1	0	2072	0
MSTRG.13872.1	0	630	0
MSTRG.13878.1	8	927	0.862999
MSTRG.13881.1	133	1760	7.55682
MSTRG.13898.1	0	982	0
MSTRG.1390.1	62	453	13.6865
MSTRG.13908.1	0	653	0
MSTRG.139.1	818	6589	12.4146
MSTRG.13915.1	0	1608	0
MSTRG.13916.1	0	734	0
MSTRG.13924.1	0	275	0
MSTRG.13930.1	0	1423	0
MSTRG.1393.2	42	1835	2.28883
MSTRG.13933.1	0	2443	0
MSTRG.13938.1	0	2216	0
MSTRG.13947.2	0	3316	0
MSTRG.13949.1	0	1240	0
MSTRG.13952.1	0	2423	0
MSTRG.13960.1	0	207	0
MSTRG.13964.3	0	895	0
MSTRG.13967.2	0	4280	0
MSTRG.13970.1	0	1809	0
MSTRG.13982.1	0	246	0
MSTRG.13983.1	0	628	0
MSTRG.13985.1	0	597	0
MSTRG.13987.3	0	4825	0
MSTRG.14004.1	0	3359	0
MSTRG.14011.1	0	799	0
MSTRG.14012.1	78	1841	4.23683
MSTRG.14013.4	431	4676	9.21728
MSTRG.14017.2	191	8280	2.30676
MSTRG.14019.3	0	6844	0
MSTRG.14020.1	119	1890	6.2963
MSTRG.14021.1	100	676	14.7929
MSTRG.14022.1	0	1234	0
MSTRG.14034.2	0	324	0
MSTRG.14041.1	0	645	0
MSTRG.14050.2	0	623	0
MSTRG.1405.1	368	1417	25.9704
MSTRG.14055.8	78	1918	4.06674
MSTRG.14056.3	0	5625	0
MSTRG.14057.1	0	802	0
MSTRG.14069.1	0	287	0
MSTRG.14077.1	0	381	0
MSTRG.1408.1	0	365	0
MSTRG.14083.1	0	2804	0
MSTRG.14100.1	148	724	20.442
MSTRG.14103.1	78	1715	4.5481
MSTRG.14104.1	5	404	1.23762
MSTRG.14121.1	91	3746	2.42926
MSTRG.14132.1	0	464	0
MSTRG.14135.1	120	219	54.7945
MSTRG.14151.1	0	707	0
MSTRG.14161.1	0	1942	0
MSTRG.14162.3	0	6403	0
MSTRG.14166.1	21	1162	1.80723
MSTRG.14167.1	0	1397	0
MSTRG.14170.1	0	1859	0
MSTRG.14177.2	26	1380	1.88406
MSTRG.14188.1	0	805	0
MSTRG.14190.1	90	511	17.6125
MSTRG.14201.1	0	996	0
MSTRG.14213.2	0	7480	0
MSTRG.14214.1	0	371	0
MSTRG.14219.1	0	6360	0
MSTRG.14226.1	0	233	0
MSTRG.14230.1	199	3021	6.58722
MSTRG.14232.1	68	1201	5.66195
MSTRG.14234.5	0	1233	0
MSTRG.14246.5	0	1196	0
MSTRG.14254.1	52	4351	1.19513
MSTRG.14278.1	0	3496	0
MSTRG.14279.1	0	1482	0
MSTRG.14292.1	0	1502	0
MSTRG.14295.1	214	1664	12.8606
MSTRG.14296.1	0	337	0
MSTRG.14306.1	0	248	0
MSTRG.14309.1	85	3603	2.35915
MSTRG.14321.1	0	927	0
MSTRG.14322.1	0	669	0
MSTRG.14324.1	39	2858	1.36459
MSTRG.14326.3	0	4469	0
MSTRG.14330.1	0	1371	0
MSTRG.14341.13	0	2002	0
MSTRG.14342.1	0	235	0
MSTRG.14357.1	173	3063	5.64806
MSTRG.14364.3	0	1433	0
MSTRG.1437.1	0	1328	0
MSTRG.14372.2	103	7711	1.33575
MSTRG.14378.1	221	784	28.1888
MSTRG.1438.1	0	1428	0
MSTRG.14381.1	100	587	17.0358
MSTRG.14386.1	0	1168	0
MSTRG.1441.1	0	2500	0
MSTRG.14420.2	0	2134	0
MSTRG.14424.2	0	1826	0
MSTRG.14425.1	0	498	0
MSTRG.1443.1	0	1121	0
MSTRG.14438.1	0	338	0
MSTRG.14441.1	685	6599	10.3804
MSTRG.14450.10	0	4354	0
MSTRG.14452.1	0	395	0
MSTRG.14462.1	0	825	0
MSTRG.1446.5	0	807	0
MSTRG.14467.1	0	335	0
MSTRG.14472.1	450	3060	14.7059
MSTRG.14479.1	0	2850	0
MSTRG.14484.1	0	478	0
MSTRG.14485.1	0	1825	0
MSTRG.14487.1	0	240	0
MSTRG.14495.1	0	839	0
MSTRG.14500.1	0	388	0
MSTRG.14508.1	0	468	0
MSTRG.145.1	0	228	0
MSTRG.14511.1	0	532	0
MSTRG.14512.1	0	1628	0
