afla	afum	anid	anig	myID
F9C07_806	Afu1g03100	AN10032	An01g04930	myID101
F9C07_2227646	Afu1g03110	AN0278	An01g04920	myID102
F9C07_1053191	Afu1g03130	AN0266	An01g04900	myID103
F9C07_802	Afu1g03140	AN0280	An01g04880	myID104
F9C07_2279158	Afu1g03210	AN0279	An01g04830	myID105
F9C07_798	Afu1g03380	AN0265	An01g04760	myID106
F9C07_796	Afu1g03390	AN0262	An01g04740	myID107
F9C07_2279155	Afu1g03400	AN0261	An01g04730	myID108
F9C07_794	Afu1g03410	AN0260	An01g04720	myID109
F9C07_793	Afu1g03420	AN0259	An01g04710	myID110
F9C07_792	Afu1g03430	AN0258	An01g04700	myID111
F9C07_1051146	Afu1g03440	AN0257	An01g04690	myID112
F9C07_790	Afu1g03450	AN0256	An01g04680	myID113
F9C07_1050892	Afu1g03460	AN0255	An01g04670	myID114
F9C07_786	Afu1g03490	AN0254	An01g04650	myID115
F9C07_785	Afu1g03500	AN0253	An01g04640	myID116
F9C07_784	Afu1g03510	AN0252	An01g04630	myID117
F9C07_2227626	Afu1g03520	AN0251	An01g04620	myID118
F9C07_11056	Afu1g03540	AN4057	An18g04170	myID119
F9C07_11055	Afu1g03550	AN4058	An18g04160	myID120
F9C07_11054	Afu1g03560	AN4056	An18g04150	myID121
F9C07_11053	Afu1g03570	AN4055	An18g04140	myID122
F9C07_2280084	Afu1g03590	AN4053	An18g04110	myID123
F9C07_2278049	Afu1g03600	AN4052	An18g04100	myID124
F9C07_2206	Afu1g03610	AN4051	An18g04090	myID125
F9C07_2207	Afu1g03620	AN4050	An18g04080	myID126
F9C07_2209	Afu1g03630	AN4049	An18g04070	myID127
F9C07_2211	Afu1g03650	AN4026	An18g04060	myID128
F9C07_1322601	Afu1g03660	AN4025	An18g04040	myID129
F9C07_2213	Afu1g03680	AN4024	An18g04030	myID130
F9C07_2215	Afu1g03700	AN4022	An18g04020	myID131
F9C07_2223	Afu1g03710	AN4021	An18g04010	myID132
F9C07_2222	Afu1g03720	AN4020	An18g04000	myID133
F9C07_2198602	Afu1g03730	AN4019	An18g03990	myID134
F9C07_2220	Afu1g03740	AN4018	An18g03980	myID135
F9C07_2219	Afu1g03750	AN4027	An18g03970	myID136
F9C07_2218	Afu1g03760	AN4028	An18g03960	myID137
F9C07_2226376	Afu1g03790	AN10496	An18g03940	myID138
F9C07_2226	Afu1g03810	AN4031	An18g03920	myID139
F9C07_2227	Afu1g03820	AN4032	An18g03910	myID140
F9C07_2228	Afu1g03830	AN4033	An18g03900	myID141
F9C07_1303273	Afu1g03840	AN4034	An01g02620	myID142
F9C07_2226370	Afu1g03860	AN4035	An01g02630	myID143
F9C07_2226369	Afu1g03870	AN4048	An01g02670	myID144
F9C07_1300932	Afu1g03880	AN4047	An01g02680	myID145
F9C07_2233	Afu1g03890	AN4046	An01g02690	myID146
F9C07_2234	Afu1g03910	AN4045	An01g02700	myID147
F9C07_1311959	Afu1g03920	AN10497	An01g02720	myID148
F9C07_2278024	Afu1g03930	AN10498	An01g02790	myID149
F9C07_2237	Afu1g03940	AN4043	An01g02800	myID150
F9C07_2239	Afu1g03950	AN4042	An01g02810	myID151
F9C07_2240	Afu1g03960	AN4039	An01g02830	myID152
F9C07_2278021	Afu1g03970	AN4038	An01g02840	myID153
F9C07_2278020	Afu1g03992	AN4037	An01g02850	myID154
F9C07_2278019	Afu1g04010	AN4036	An01g02860	myID155
F9C07_2244	Afu1g04020	AN4017	An01g02870	myID156
F9C07_2278006	Afu1g04062	AN10501	An01g02890	myID157
F9C07_2278008	Afu1g04070	AN4015	An01g02900	myID158
F9C07_2254	Afu1g04080	AN4014	An01g02910	myID159
F9C07_2253	Afu1g04090	AN12042	An01g02920	myID160
F9C07_2278011	Afu1g04110	AN4013	An01g02940	myID161
F9C07_2249	Afu1g04120	AN10495	An01g03000	myID162
F9C07_2264	Afu1g04150	AN4003	An01g03030	myID163
F9C07_2226338	Afu1g04170	AN4001	An01g03040	myID164
F9C07_1301849	Afu1g04190	AN4000	An01g03050	myID165
F9C07_2278000	Afu1g04210	AN3999	An01g03060	myID166
F9C07_2268	Afu1g04230	AN0476	An01g03070	myID167
F9C07_2269	Afu1g04240	AN0475	An01g03080	myID168
F9C07_2270	Afu1g04260	AN0472	An01g03090	myID169
F9C07_2271	Afu1g04270	AN0471	An01g03100	myID170
F9C07_2272	Afu1g04280	AN0470	An01g03110	myID171
F9C07_2277996	Afu1g04290	AN0469	An01g03120	myID172
F9C07_2100416	Afu1g04300	AN0468	An01g03130	myID173
F9C07_2275	Afu1g04310	AN0467	An01g03140	myID174
F9C07_2276	Afu1g04315	AN0466	An01g03150	myID175
F9C07_2277992	Afu1g04320	AN0465	An01g03160	myID176
F9C07_2278	Afu1g04330	AN0464	An01g03170	myID177
F9C07_2131358	Afu1g04340	AN0463	An01g03180	myID178
F9C07_2277990	Afu1g04360	AN0462	An01g03190	myID179
F9C07_2282	Afu1g04370	AN0461	An01g03230	myID180
F9C07_1309032	Afu1g04380	AN0460	An01g03240	myID181
F9C07_2284	Afu1g04390	AN0459	An01g03250	myID182
F9C07_2285	Afu1g04400	AN10091	An01g03260	myID183
F9C07_2286	Afu1g04410	AN0458	An01g03270	myID184
F9C07_2198572	Afu1g04450	AN10080	An01g03300	myID185
F9C07_2325	Afu1g04460	AN0428	An01g03650	myID186
F9C07_2277952	Afu1g04470	AN0429	An01g03640	myID187
F9C07_2131122	Afu1g04480	AN0430	An01g03630	myID188
F9C07_2323	Afu1g04490	AN0436	An01g03610	myID189
F9C07_2321	Afu1g04520	AN0434	An01g03590	myID190
F9C07_1299862	Afu1g04530	AN0433	An01g03580	myID191
F9C07_1299813	Afu1g04540	AN0432	An01g03570	myID192
F9C07_2314	Afu1g04550	AN10103	An01g03560	myID193
F9C07_2313	Afu1g04560	AN10079	An01g03550	myID194
F9C07_2226294	Afu1g04570	AN0437	An01g03540	myID195
F9C07_2311	Afu1g04575	AN0438	An01g03530	myID196
F9C07_2277964	Afu1g04580	AN0439	An01g03520	myID197
F9C07_2309	Afu1g04590	AN0440	An01g03510	myID198
F9C07_2226298	Afu1g04600	AN0441	An01g03500	myID199
F9C07_2307	Afu1g04610	AN0442	An01g03490	myID200
F9C07_2306	Afu1g04620	AN0443	An01g03480	myID201
F9C07_2226304	Afu1g04640	AN0444	An01g03470	myID202
F9C07_2131235	Afu1g04660	AN0445	An01g03460	myID203
F9C07_2277972	Afu1g04670	AN0446	An01g03450	myID204
F9C07_2277973	Afu1g04680	AN0447	An01g03410	myID205
F9C07_2296	Afu1g04690	AN0448	An01g03390	myID206
F9C07_2295	Afu1g04700	AN0449	An01g03370	myID207
F9C07_2293	Afu1g04710	AN0450	An01g03360	myID208
F9C07_2277979	Afu1g04720	AN0451	An01g03350	myID209
F9C07_2291	Afu1g04730	AN0452	An01g03340	myID210
F9C07_2329	Afu1g04780	AN10078	An01g03680	myID211
F9C07_2332	Afu1g04790	AN10077	An01g03700	myID212
F9C07_2333	Afu1g04800	AN10088	An01g03720	myID213
F9C07_2334	Afu1g04810	AN0424	An01g03730	myID214
F9C07_2335	Afu1g04820	AN0423	An01g03740	myID215
F9C07_2226272	Afu1g04830	AN0422	An01g03750	myID216
F9C07_2338	Afu1g04840	AN0421	An01g03760	myID217
F9C07_2339	Afu1g04850	AN0420	An01g03770	myID218
F9C07_2277937	Afu1g04860	AN0419	An01g03780	myID219
F9C07_2277935	Afu1g04870	AN0418	An01g03790	myID220
F9C07_2343	Afu1g04880	AN0416	An01g03870	myID221
F9C07_2342	Afu1g04890	AN0417	An01g03820	myID222
F9C07_2277931	Afu1g04910	AN10076	An01g03950	myID223
F9C07_2198546	Afu1g04920	AN0414	An01g03970	myID224
F9C07_2277927	Afu1g04930	AN0412	An01g04030	myID225
F9C07_2277926	Afu1g04940	AN0411	An01g04040	myID226
F9C07_2130884	Afu1g04960	AN0409	An01g04150	myID227
F9C07_2353	Afu1g04970	AN0408	An01g04180	myID228
F9C07_2356	Afu1g04980	AN0407	An01g04060	myID229
F9C07_2357	Afu1g04990	AN0406	An01g04080	myID230
F9C07_2361	Afu1g05000	AN0405	An01g04090	myID231
F9C07_2130885	Afu1g04950	AN0410	An01g04120	myID232
F9C07_2277891	Afu1g05040	AN2731	An01g04280	myID233
F9C07_2226220	Afu1g05050	AN12316	An01g04260	myID234
F9C07_2391	Afu1g05060	AN2733	An01g04250	myID235
F9C07_2226218	Afu1g05020	AN2730	An01g04210	myID236
F9C07_2277894	Afu1g05070	AN2735	An01g04230	myID237
F9C07_2277895	Afu1g05080	AN2734	An01g04240	myID238
F9C07_2388	Afu1g05100	AN2736	An01g04300	myID239
F9C07_2057677	Afu1g05110	AN2737	An01g04310	myID240
F9C07_2386	Afu1g05120	AN2738	An01g04320	myID241
F9C07_2277899	Afu1g05130	AN2749	An01g04330	myID242
F9C07_2384	Afu1g05140	AN2750	An01g04360	myID243
F9C07_1290496	Afu1g05150	AN2748	An01g04370	myID244
F9C07_2382	Afu1g05160	AN2747	An01g04380	myID245
F9C07_2380	Afu1g05180	AN2745	An01g04410	myID246
F9C07_1293951	Afu1g05190	AN2744	An01g04420	myID247
F9C07_2378	Afu1g05200	AN2743	An01g04430	myID248
F9C07_2376	Afu1g05220	AN2741	An01g04440	myID249
F9C07_2375	Afu1g05230	AN2740	An01g04450	myID250
F9C07_2374	Afu1g05240	AN9517	An01g04470	myID251
F9C07_2277909	Afu1g05260	AN2739	An01g04520	myID252
F9C07_2055266	Afu1g05280	AN0244	An01g04550	myID253
F9C07_2370	Afu1g05290	AN0245	An01g04560	myID254
F9C07_2055435	Afu1g05300	AN0246	An01g04570	myID255
F9C07_2277915	Afu1g05310	AN0247	An01g04590	myID256
F9C07_2366	Afu1g05320	AN0248	An01g04600	myID257
F9C07_2365	Afu1g05330	AN0249	An01g04610	myID258
F9C07_11057	Afu1g05340	AN4060	An18g04180	myID259
F9C07_11058	Afu1g05350	AN4061	An18g04190	myID260
F9C07_11060	Afu1g05370	AN4062	An18g04210	myID261
F9C07_11061	Afu1g05390	AN4064	An18g04220	myID262
F9C07_2228693	Afu1g05410	AN4065	An18g04230	myID263
F9C07_2228694	Afu1g05420	AN4066	An18g04240	myID264
F9C07_11066	Afu1g05430	AN4067	An18g04250	myID265
F9C07_11067	Afu1g05440	AN4068	An18g04260	myID266
F9C07_1146974	Afu1g05450	AN4069	An18g04270	myID267
F9C07_11069	Afu1g05460	AN4070	An18g04280	myID268
F9C07_11070	Afu1g05470	AN4071	An18g04290	myID269
F9C07_2141618	Afu1g05490	AN4072	An18g04300	myID270
F9C07_2280103	Afu1g05500	AN4073	An18g04310	myID271
F9C07_1146757	Afu1g05510	AN4074	An18g04320	myID272
F9C07_2228703	Afu1g05530	AN4075	An18g04340	myID273
F9C07_2228704	Afu1g05540	AN4076	An18g04350	myID274
F9C07_2280108	Afu1g05550	AN4077	An18g04363	myID275
F9C07_11080	Afu1g05560	AN4080	An18g04400	myID276
F9C07_2059903	Afu1g05570	AN4081	An18g04410	myID277
F9C07_11082	Afu1g05595	AN4084	An18g04440	myID278
F9C07_2280112	Afu1g05610	AN4085	An18g03290	myID279
F9C07_1147610	Afu1g05620	AN4086	An18g03300	myID280
F9C07_11086	Afu1g05630	AN4087	An18g03310	myID281
F9C07_2280116	Afu1g05640	AN12322	An18g03320	myID282
F9C07_2059001	Afu1g05655	AN12324	An18g03340	myID283
F9C07_11092	Afu1g05660	AN9533	An18g03350	myID284
F9C07_2280120	Afu1g05670	AN12461	An18g03360	myID285
F9C07_2280121	Afu1g05680	AN4088	An18g03430	myID286
F9C07_2060132	Afu1g05690	AN4089	An18g03450	myID287
F9C07_1148451	Afu1g05700	AN4090	An18g03460	myID288
F9C07_11098	Afu1g05710	AN4093	An18g03470	myID289
F9C07_11100	Afu1g05730	AN4095	An18g03490	myID290
F9C07_11101	Afu1g05740	AN4096	An18g03530	myID291
F9C07_2102782	Afu1g05745	AN12094	An18g03540	myID292
F9C07_11105	Afu1g05770	AN4102	An18g03570	myID293
F9C07_11117	Afu1g05780	AN4191	An18g03720	myID294
F9C07_11116	Afu1g05790	AN4190	An18g03730	myID295
F9C07_2280141	Afu1g05800	AN4189	An18g03740	myID296
F9C07_2280140	Afu1g05810	AN4188	An18g03755	myID297
F9C07_2141898	Afu1g05830	AN4187	An18g03770	myID298
F9C07_11111	Afu1g05840	AN4112	An18g03610	myID299
F9C07_2058892	Afu1g05850	AN4105	An18g03600	myID300
F9C07_2059989	Afu1g05860	AN4104	An18g03590	myID301
F9C07_2228735	Afu1g05870	AN10511	An18g03580	myID302
F9C07_2280144	Afu1g05900	AN4192	An18g03700	myID303
F9C07_10988	Afu1g05950	AN4199	An18g03630	myID304
F9C07_2141346	Afu1g05960	AN10522	An18g03780	myID305
F9C07_10991	Afu1g05980	AN4201	An18g03800	myID306
F9C07_2280032	Afu1g05990	AN4202	An18g03810	myID307
F9C07_1142143	Afu1g06000	AN10532	An18g03830	myID308
F9C07_10996	Afu1g06020	AN4206	An18g03870	myID309
F9C07_10998	Afu1g06040	AN4208	An18g04660	myID310
F9C07_10999	Afu1g06050	AN4209	An18g04670	myID311
F9C07_2280040	Afu1g06060	AN4210	An18g04690	myID312
F9C07_2141378	Afu1g06071	AN12104	An18g04730	myID313
F9C07_1142927	Afu1g06080	AN12105	An18g04750	myID314
F9C07_2280043	Afu1g06090	AN4214	An18g04780	myID315
F9C07_11004	Afu1g06100	AN4215	An18g04790	myID316
F9C07_1186273	Afu1g06160	AN4237	An18g05340	myID317
F9C07_2217323	Afu1g06170	AN4236	An18g05230	myID318
F9C07_1186130	Afu1g06180	AN10527	An18g05220	myID319
F9C07_9795	Afu1g06190	AN10526	An18g05190	myID320
F9C07_2276983	Afu1g06200	AN4235	An18g05180	myID321
F9C07_9793	Afu1g06210	AN4234	An18g05170	myID322
F9C07_9792	Afu1g06220	AN4233	An18g05150	myID323
F9C07_9791	Afu1g06230	AN4232	An18g05140	myID324
F9C07_9790	Afu1g06240	AN4231	An18g05130	myID325
F9C07_9789	Afu1g06250	AN4230	An18g05120	myID326
F9C07_2225184	Afu1g06260	AN4229	An18g05110	myID327
F9C07_9787	Afu1g06270	AN4228	An18g05100	myID328
F9C07_1185452	Afu1g06280	AN4227	An18g05090	myID329
F9C07_2177232	Afu1g06290	AN4226	An18g05080	myID330
F9C07_2225177	Afu1g06300	AN10519	An18g05070	myID331
F9C07_2056120	Afu1g06310	AN10524	An18g05060	myID332
F9C07_2276974	Afu1g06320	AN4224	An18g05050	myID333
F9C07_2177220	Afu1g06330	AN4223	An18g05040	myID334
F9C07_9780	Afu1g06340	AN4222	An18g05020	myID335
F9C07_9779	Afu1g06350	AN10518	An18g05000	myID336
F9C07_2251913	Afu1g06360	AN10523	An18g04880	myID337
F9C07_2276991	Afu1g06400	AN4238	An18g05380	myID338
F9C07_9803	Afu1g06410	AN4239	An18g05420	myID339
F9C07_2225199	Afu1g06420	AN4240	An18g05430	myID340
F9C07_9805	Afu1g06430	AN12106	An18g05440	myID341
F9C07_9809	Afu1g06450	AN4243	An18g05470	myID342
F9C07_9811	Afu1g06460	AN4244	An18g05490	myID343
F9C07_9812	Afu1g06470	AN4245	An18g05500	myID344
F9C07_9814	Afu1g06490	AN4247	An18g05520	myID345
F9C07_1186681	Afu1g06500	AN4248	An18g05540	myID346
F9C07_2277003	Afu1g06520	AN10535	An18g05570	myID347
F9C07_2197835	Afu1g06530	AN4250	An18g05590	myID348
F9C07_9818	Afu1g06570	AN4251	An18g05630	myID349
F9C07_9819	Afu1g06580	AN4252	An18g05640	myID350
F9C07_2217336	Afu1g06600	AN5702	An18g05650	myID351
F9C07_9822	Afu1g06610	AN5703	An18g05670	myID352
F9C07_2277009	Afu1g06620	AN5704	An18g05680	myID353
F9C07_2277010	Afu1g06630	AN5705	An18g05690	myID354
F9C07_1187398	Afu1g06650	AN10714	An18g05700	myID355
F9C07_9830	Afu1g06660	AN5708	An18g05720	myID356
F9C07_1186392	Afu1g06670	AN5709	An18g05730	myID357
F9C07_9828	Afu1g06680	AN5710	An18g05740	myID358
F9C07_9827	Afu1g06690	AN5711	An18g05750	myID359
F9C07_2277015	Afu1g06700	AN5712	An18g05760	myID360
F9C07_2277016	Afu1g06710	AN5713	An18g05770	myID361
F9C07_9836	Afu1g06740	AN11789	An18g05790	myID362
F9C07_2225233	Afu1g06762	AN5714	An18g05800	myID363
F9C07_9838	Afu1g06770	AN5715	An18g05810	myID364
F9C07_9839	Afu1g06780	AN5716	An18g05820	myID365
F9C07_2277021	Afu1g06790	AN5717	An18g05830	myID366
F9C07_2277024	Afu1g06820	AN5718	An18g05850	myID367
F9C07_2277025	Afu1g06830	AN5719	An18g05860	myID368
F9C07_2225241	Afu1g06840	AN5720	An18g05870	myID369
F9C07_2277026	Afu1g06850	AN5721	An18g05880	myID370
F9C07_2277028	Afu1g06860	AN5722	An18g05890	myID371
F9C07_2277029	Afu1g06880	AN5724	An18g05900	myID372
F9C07_9849	Afu1g06890	AN5725	An18g05910	myID373
F9C07_9850	Afu1g06900	AN5726	An18g05920	myID374
F9C07_9851	Afu1g06910	AN5727	An18g05940	myID375
F9C07_1190338	Afu1g06920	AN5728	An18g05960	myID376
F9C07_2283588	Afu1g06960	AN5162	An07g09530	myID377
F9C07_4082	Afu1g06970	AN5163	An07g09540	myID378
F9C07_4083	Afu1g06980	AN5164	An07g09550	myID379
F9C07_2283591	Afu1g07000	AN5165	An07g09560	myID380
F9C07_2232714	Afu1g07010	AN5166	An07g09570	myID381
F9C07_1542008	Afu1g07020	AN10640	An07g09580	myID382
F9C07_4089	Afu1g07040	AN10646	An07g09600	myID383
F9C07_2068793	Afu1g07050	AN5157	An07g09610	myID384
F9C07_4091	Afu1g07070	AN5156	An07g09630	myID385
F9C07_4094	Afu1g07090	AN5154	An07g09710	myID386
F9C07_4095	Afu1g07100	AN5153	An07g09720	myID387
F9C07_2232724	Afu1g07110	AN5152	An07g09650	myID388
F9C07_4097	Afu1g07140	AN10648	An07g09690	myID389
F9C07_4098	Afu1g07150	AN5185	An07g09700	myID390
F9C07_2202923	Afu1g07160	AN5186	An07g09730	myID391
F9C07_2283602	Afu1g07170	AN5187	An07g09740	myID392
F9C07_4102	Afu1g07180	AN5188	An07g09750	myID393
F9C07_1549314	Afu1g07195	AN5190	An07g09780	myID394
F9C07_4110	Afu1g07250	AN10637	An07g09800	myID395
F9C07_2283611	Afu1g07260	AN10636	An07g09810	myID396
F9C07_2157931	Afu1g07270	AN10643	An07g09820	myID397
F9C07_4112	Afu1g07280	AN5141	An07g09830	myID398
F9C07_4113	Afu1g07300	AN5140	An07g09840	myID399
F9C07_1547828	Afu1g07310	AN10645	An07g09850	myID400
F9C07_4115	Afu1g07320	AN10635	An07g09860	myID401
F9C07_2256935	Afu1g07340	AN10647	An07g09880	myID402
F9C07_4118	Afu1g07360	AN5136	An07g09900	myID403
F9C07_1548311	Afu1g07370	AN5135	An07g09910	myID404
F9C07_4119	Afu1g07380	AN5134	An07g09920	myID405
F9C07_2232748	Afu1g07400	AN5133	An07g09950	myID406
F9C07_2232749	Afu1g07420	AN5127	An07g09960	myID407
F9C07_4122	Afu1g07430	AN5128	An07g09970	myID408
F9C07_4124	Afu1g07450	AN5132	An07g10010	myID409
F9C07_4125	Afu1g07470	AN5131	An07g10020	myID410
F9C07_2232754	Afu1g07480	AN5130	An07g10040	myID411
F9C07_4127	Afu1g07490	AN5126	An07g10050	myID412
F9C07_4129	Afu1g07500	AN5125	An07g10060	myID413
F9C07_2232756	Afu1g07510	AN5124	An07g10080	myID414
F9C07_4131	Afu1g07520	AN5123	An07g10090	myID415
F9C07_4132	Afu1g07530	AN5122	An07g10100	myID416
F9C07_4133	Afu1g07540	AN5121	An07g10110	myID417
F9C07_2106691	Afu1g07550	AN5120	An07g10120	myID418
F9C07_4136	Afu1g07560	AN5118	An07g10190	myID419
F9C07_4137	Afu1g07570	AN5119	An07g10200	myID420
F9C07_4138	Afu1g07580	AN5116	An07g10210	myID421
F9C07_2158086	Afu1g07590	AN5115	An07g10220	myID422
F9C07_2232766	Afu1g07600	AN5114	An07g10230	myID423
F9C07_1547794	Afu1g07610	AN5113	An07g10240	myID424
F9C07_4142	Afu1g07620	AN5112	An07g10250	myID425
F9C07_2202938	Afu1g07625	AN12179	An07g10260	myID426
F9C07_2283635	Afu1g07640	AN5110	An07g10280	myID427
F9C07_1561579	Afu1g07660	AN5108	An07g10310	myID428
F9C07_4147	Afu1g07670	AN5107	An07g10320	myID429
F9C07_4148	Afu1g07680	AN5106	An07g10340	myID430
F9C07_4149	Afu1g07690	AN5105	An07g10350	myID431
F9C07_4150	Afu1g07700	AN5104	An07g10370	myID432
F9C07_4151	Afu1g07710	AN5103	An07g10393	myID433
F9C07_4152	Afu1g07720	AN5102	An07g10400	myID434
F9C07_1555000	Afu1g07730	AN5101	An07g10410	myID435
F9C07_4154	Afu1g07740	AN5100	An07g10420	myID436
F9C07_4155	Afu1g07750	AN5099	An07g10430	myID437
F9C07_1124850	Afu1g08760	AN1403	An08g00010	myID438
F9C07_1664	Afu1g08767	AN1402	An08g00025	myID439
F9C07_1663	Afu1g08790	AN1401	An08g00070	myID440
F9C07_2228435	Afu1g08795	AN1399	An08g00090	myID441
F9C07_1123171	Afu1g08800	AN1397	An08g00180	myID442
F9C07_1659	Afu1g08810	AN1396	An08g00210	myID443
F9C07_1656	Afu1g08830	AN10186	An08g00290	myID444
F9C07_1655	Afu1g08840	AN10188	An08g00300	myID445
