Orthogroup	afla	afum	anid	anig
OG0000052	F9C07_11785, F9C07_1360032, F9C07_2278497, F9C07_2282951, F9C07_2620, F9C07_2789, F9C07_5023, F9C07_5259, F9C07_9599	Afu2g17360, Afu3g12900, Afu6g00210	AN3722, AN7021	An04g07510, An07g00780, An08g10620, An09g05580, An16g06770
OG0000053	F9C07_2058570, F9C07_2105467, F9C07_2144256, F9C07_216, F9C07_2198479, F9C07_2201316, F9C07_2201402, F9C07_2202470, F9C07_2224840, F9C07_2282777, F9C07_5376	Afu5g06730		An02g02250, An08g08770, An11g00950, An11g06000, An11g06580, An15g05650, An18g01210
OG0000054	F9C07_2154074, F9C07_2233322, F9C07_3730, F9C07_6931, F9C07_8210, F9C07_9191	Afu3g01070, Afu4g13780	AN0231, AN10821, AN11920, AN1318, AN5311, AN7912, AN9388	An01g09220, An03g00280, An09g02980, An09g05130
OG0000055		Afu2g18080, Afu3g09430, Afu4g00820, Afu4g02640, Afu4g14370, Afu4g14870, Afu5g00270, Afu6g00780, Afu6g00790, Afu6g09470, Afu6g14660, Afu7g00100, Afu7g06930, Afu7g06935, Afu7g08200, Afu7g08210, Afu8g00310, Afu8g01040, Afu8g06290		
OG0000056	F9C07_12182	Afu2g11420, Afu6g03040, Afu7g04900	AN10152, AN11120, AN6942	An02g00280, An02g13050, An05g01500, An07g06450, An11g07300, An11g10350, An12g07400, An13g00720, An16g00090, An16g00770, An18g01010
OG0000057	F9C07_12301, F9C07_2103122, F9C07_2172819, F9C07_7812, F9C07_8602	Afu3g04220	AN3381, AN7814, AN7855, AN7856, AN7873, AN9408	An01g00050, An08g10860, An09g01740, An09g01750, An10g00650, An12g01990
OG0000058	F9C07_13264, F9C07_1511872, F9C07_2064431, F9C07_2203978, F9C07_2236666, F9C07_2282753, F9C07_2287001, F9C07_3743, F9C07_7618	Afu1g13800, Afu2g11580, Afu5g06580	AN0732	An02g03620, An08g06980, An12g09630, An13g03610, An17g01070
OG0000059	F9C07_1069823, F9C07_1608492, F9C07_2063377, F9C07_2135859, F9C07_2227365, F9C07_2231887, F9C07_2263672, F9C07_2281253, F9C07_2284550, F9C07_2285037, F9C07_7740, F9C07_8456, F9C07_86	Afu5g00710, Afu5g14660	AN3345, AN3347	An12g10000
OG0000060	F9C07_13207, F9C07_1832779, F9C07_2126025, F9C07_2280858, F9C07_803	Afu2g10910, Afu7g05190, Afu7g06390, Afu8g01340, Afu8g07240	AN0713, AN3515, AN5917, AN6811, AN6834, AN7119, AN7344	An02g02810
OG0000061	F9C07_13006, F9C07_2067622, F9C07_2251076, F9C07_2286430, F9C07_5867, F9C07_7995, F9C07_857, F9C07_860	Afu2g15490, Afu3g00240, Afu5g00380, Afu5g00410		An02g04400, An03g02690, An03g05780, An09g03050, An11g04110, An12g06200
OG0000062	F9C07_11279, F9C07_2058860, F9C07_2108922, F9C07_2201613, F9C07_2280413, F9C07_2286780, F9C07_2287718, F9C07_3744, F9C07_5447	Afu4g00630, Afu5g00400	AN0744, AN2564, AN4153	An02g04430, An02g11030, An12g06040, An12g10270
OG0000063	F9C07_11905, F9C07_1245391, F9C07_1900, F9C07_2109798, F9C07_2205295, F9C07_2280553, F9C07_2280995, F9C07_2283822, F9C07_2286487, F9C07_2358, F9C07_6473	Afu2g12700		An01g01850, An03g03270, An04g04570, An11g06570, An12g02770, An14g05830
OG0000064	F9C07_1352570, F9C07_2065119, F9C07_2248975, F9C07_2253076, F9C07_2253448	Afu6g09307, Afu6g09780	AN0517, AN0541, AN0549, AN12279, AN8090, AN8481, AN8999, AN9390	An14g07420, An15g00840, An19g00100
OG0000065		Afu5g10140		An01g01280, An01g11290, An01g15000, An02g02780, An04g03770, An06g00770, An07g01220, An08g03640, An09g00870, An11g08620, An12g02860, An12g03110, An12g05380, An12g08620, An16g01590, An17g00120, An18g02650
OG0000066	F9C07_12180, F9C07_2222146, F9C07_2234067, F9C07_2278800	Afu3g00230, Afu5g07190, Afu6g11910, Afu6g12010, Afu6g14490	AN0479, AN0712, AN2227, AN2599, AN3903, AN7865	An03g05330, An17g00520
OG0000067	F9C07_10947, F9C07_172, F9C07_2237514, F9C07_2277624, F9C07_2287005, F9C07_6420	Afu2g00160, Afu2g00967, Afu2g17900, Afu3g02216, Afu7g00610	AN11904, AN7635	An02g00270, An07g01420, An10g00560, An12g10830
OG0000068	F9C07_1489796, F9C07_1924302, F9C07_2280651, F9C07_2281308, F9C07_2287017, F9C07_2304, F9C07_5444, F9C07_7492	Afu3g00630	AN0021	An01g07950, An01g07960, An01g07970, An01g11330, An06g02140, An06g02150, An14g07300
OG0000069	F9C07_1064633, F9C07_10959, F9C07_1526629, F9C07_2233750, F9C07_2287131, F9C07_2287633, F9C07_8846	Afu2g04560, Afu6g02770	AN10514, AN11791, AN2813, AN8603	An12g01730, An12g07780, An15g07860, An17g00810
OG0000070	F9C07_1489248, F9C07_1489887, F9C07_2066442, F9C07_2202819, F9C07_2276873, F9C07_2280557, F9C07_2285528	Afu3g13880	AN1294, AN5016, AN5321, AN7947, AN7948	An02g09690, An09g05120, An12g06560, An15g02210
OG0000071	F9C07_1105, F9C07_2205431, F9C07_2228003, F9C07_2240303, F9C07_2245791, F9C07_2281026, F9C07_2282833	Afu2g17990, Afu2g18040, Afu3g12930, Afu8g00210, Afu8g00250, Afu8g00620	AN10289, AN11080, AN11202	An07g02560
OG0000072	F9C07_2285822, F9C07_3261, F9C07_4931, F9C07_9380	Afu1g12560, Afu3g03870, Afu4g07850	AN1041, AN10419, AN11972, AN3860, AN7891, AN9524	An04g08550, An08g05230, An12g04610, An14g02670
OG0000073	F9C07_10739, F9C07_2228205, F9C07_7121	Afu3g08670, Afu5g11245, Afu6g07820, Afu7g06130, Afu8g01790	AN0178, AN10369, AN11079, AN12202, AN1930, AN3886, AN9387	An01g02360, An09g06200
OG0000074	F9C07_2282490	Afu5g01360	AN0338, AN10573, AN10887, AN1794, AN2040, AN3609, AN5360, AN6407, AN6485, AN6787, AN7932, AN8309, AN8615, AN9225, AN9313	
OG0000075	F9C07_1818, F9C07_2179892	Afu2g17160, Afu3g00580, Afu3g13630, Afu7g00570	AN0480	An01g07840, An04g04820, An05g01470, An09g04210, An09g06230, An11g03130, An13g01730, An13g01740, An15g01210, An18g05280
OG0000076		Afu1g01270, Afu4g09980	AN7522	An01g00680, An03g05460, An06g02670, An07g00080, An08g03780, An08g09230, An08g09940, An09g01950, An09g02590, An11g03540, An12g09560, An17g00440, An18g00260, An18g02680
OG0000077				An02g09120, An03g03110, An04g05900, An04g06790, An05g01980, An06g00090, An07g00900, An08g10220, An09g00770, An09g00980, An10g00740, An11g06380, An11g07250, An11g08670, An13g03740, An13g03760, An18g00790
OG0000078	F9C07_1381, F9C07_2205573, F9C07_2244723, F9C07_2276828, F9C07_2280380, F9C07_3753, F9C07_9389			An03g05750, An08g09320, An11g08320, An11g09130, An12g04520, An12g06050, An16g02610, An18g00480, An18g01720
OG0000079	F9C07_1482337, F9C07_2263458, F9C07_2287009, F9C07_5192, F9C07_8603	Afu3g04210	AN3380, AN7815, AN7880, AN9245, AN9407	An01g00060, An08g10930, An09g02010, An10g00630, An12g01980
OG0000080	F9C07_1273112, F9C07_1802828, F9C07_1919648, F9C07_2200420, F9C07_2202320, F9C07_2218933, F9C07_2221945, F9C07_2259770	Afu7g06240		An01g12000, An01g14430, An09g04960, An11g01940, An11g07070, An11g08130, An16g06380
OG0000081	F9C07_2217203, F9C07_2276930, F9C07_2277043, F9C07_2279183, F9C07_2280356, F9C07_2280375, F9C07_2280427, F9C07_2282686, F9C07_2283804, F9C07_2284296, F9C07_2286442, F9C07_2287141, F9C07_4161, F9C07_4162, F9C07_4282	Afu3g01410		
OG0000082	F9C07_1506211, F9C07_1609339, F9C07_1629417, F9C07_2098592, F9C07_2202166, F9C07_2210011, F9C07_2225083, F9C07_2231903, F9C07_2233783, F9C07_2256609, F9C07_2280667, F9C07_2285904, F9C07_2286085, F9C07_2287252	Afu5g00340		An16g01420
OG0000083	F9C07_10002, F9C07_12709, F9C07_1728270, F9C07_2058132, F9C07_2283880	Afu2g05340, Afu2g12850, Afu6g12410, Afu8g02130	AN11152, AN3730, AN7511	An02g03070, An03g06220, An09g00670, An16g06120
OG0000084	F9C07_1506953, F9C07_2280765, F9C07_2283434	Afu2g15320, Afu3g01940, Afu3g15380, Afu4g11060, Afu5g01520	AN10951, AN2707, AN5628, AN7167, AN7936	An01g14460, An04g09740, An19g00420
