afla,afum,anid,anig,myID
F9C07_2283186,Afu1g14220,AN0745,An01g12230,myID846
F9C07_2280732,Afu1g14300,AN0768,An01g12350,myID853
F9C07_2144572,Afu1g14310,AN10119,An01g12360,myID854
F9C07_2280730,Afu1g14320,AN0770,An01g12370,myID855
F9C07_5533,Afu1g14330,AN0771,An01g12380,myID856
F9C07_5532,Afu1g14340,AN0773,An01g12390,myID857
F9C07_2280727,Afu1g14360,AN10120,An01g12410,myID858
F9C07_5526,Afu1g14410,AN0776,An01g12420,myID859
F9C07_1846417,Afu1g14420,AN0777,An01g12430,myID860
F9C07_5524,Afu1g14430,AN0778,An01g12440,myID861
F9C07_5522,Afu1g14450,AN0779,An01g12450,myID862
F9C07_2277647,Afu1g14730,AN0814,An01g12750,myID882
F9C07_2277648,Afu1g14740,AN0816,An01g12770,myID883
F9C07_2691,Afu1g14750,AN0817,An01g12780,myID884
F9C07_2688,Afu1g14770,AN0818,An01g12800,myID885
F9C07_2277653,Afu1g14780,AN0819,An01g12810,myID886
F9C07_1267,Afu1g14790,AN0821,An01g12820,myID887
F9C07_1265,Afu1g14800,AN0820,An01g12850,myID888
F9C07_1082970,Afu1g15360,AN0876,An01g13630,myID933
F9C07_2060207,Afu1g15370,AN10128,An01g13640,myID934
F9C07_2279479,Afu1g15390,AN0879,An01g13680,myID935
F9C07_1195,Afu1g15400,AN0880,An01g13690,myID936
F9C07_2059249,Afu1g15410,AN0881,An01g13750,myID937
F9C07_1178,Afu1g15500,AN0889,An01g13830,myID942
F9C07_1179,Afu1g15510,AN0888,An01g13820,myID943
F9C07_2249996,Afu1g15520,AN0887,An01g13810,myID944
F9C07_1182,Afu1g15550,AN0885,An01g13790,myID945
F9C07_1183,Afu1g15560,AN0884,An01g13780,myID946
F9C07_1185,Afu1g15570,AN0883,An01g13770,myID947
F9C07_2279374,Afu1g16580,AN0976,An01g10490,myID1003
F9C07_2279377,Afu1g16590,AN0973,An01g10540,myID1004
F9C07_1061,Afu1g16650,AN0977,An01g10460,myID1008
F9C07_2137760,Afu1g16680,AN0979,An01g10380,myID1009
F9C07_1067655,Afu1g16710,AN0981,An01g10340,myID1010
F9C07_1067742,Afu1g16720,AN0982,An01g10310,myID1011
F9C07_2279352,Afu1g16745,AN0986,An01g10200,myID1013
F9C07_1037,Afu1g16780,AN0988,An01g10170,myID1014
F9C07_1515,Afu2g03760,AN3810,An07g08370,myID1231
F9C07_1518,Afu2g03790,AN3807,An07g08340,myID1234
F9C07_1519,Afu2g03810,AN3806,An07g08380,myID1235
F9C07_1522,Afu2g03840,AN3803,An07g08430,myID1236
F9C07_1523,Afu2g03850,AN3802,An07g08470,myID1237
F9C07_2281138,Afu2g07960,AN10734,An05g00530,myID1438
F9C07_2062295,Afu2g08010,AN5848,An05g00570,myID1440
F9C07_1885513,Afu2g08040,AN5849,An05g00605,myID1441
F9C07_2086503,Afu2g08060,AN12480,An05g00628,myID1442
F9C07_7278,Afu2g11150,AN5895,An02g03120,myID1662
F9C07_1449599,Afu2g11170,AN5892,An02g03140,myID1663
F9C07_2282376,Afu2g11180,AN5893,An02g03160,myID1664
F9C07_2231295,Afu2g11190,AN5894,An02g03180,myID1665
F9C07_2282378,Afu2g11210,AN5891,An02g03210,myID1666
F9C07_7285,Afu2g11230,AN5889,An02g03230,myID1667
F9C07_2282380,Afu2g11240,AN5888,An02g03240,myID1668
F9C07_7288,Afu2g11260,AN5886,An02g03250,myID1669
F9C07_2152754,Afu2g11270,AN5885,An02g03260,myID1670
F9C07_2282385,Afu2g11300,AN5883,An02g03270,myID1671
F9C07_2220973,Afu2g11310,AN5882,An02g03280,myID1672
F9C07_7348,Afu2g11800,AN6199,An02g03850,myID1708
F9C07_1456081,Afu2g11810,AN6200,An02g03860,myID1709
F9C07_2282427,Afu2g11840,AN12054,An02g03940,myID1710
F9C07_2282428,Afu2g11850,AN6202,An02g03950,myID1711
F9C07_7353,Afu2g11860,AN6203,An02g03960,myID1712
F9C07_7534,Afu2g13120,AN6245,An02g01860,myID1792
F9C07_1469471,Afu2g13130,AN6244,An02g01970,myID1793
F9C07_1469873,Afu2g13140,AN6243,An02g01950,myID1794
F9C07_2282584,Afu2g13160,AN6241,An02g01890,myID1795
F9C07_7528,Afu2g13170,AN6240,An02g01880,myID1796
F9C07_7523,Afu2g13210,AN6233,An02g01990,myID1797
F9C07_7522,Afu2g13230,AN12360,An02g02000,myID1798
F9C07_7521,Afu2g13240,AN6232,An02g02020,myID1799
F9C07_2282575,Afu2g13250,AN6231,An02g02170,myID1800
F9C07_2153579,Afu2g13260,AN6230,An02g02150,myID1801
F9C07_7516,Afu2g13265,AN10796,An02g02070,myID1802
F9C07_7515,Afu2g13270,AN10793,An02g02060,myID1803
F9C07_2153546,Afu2g13290,AN6228,An02g02040,myID1804
F9C07_2231571,Afu2g13740,AN2417,An02g05440,myID1840
F9C07_7583,Afu2g13750,AN2418,An02g05380,myID1841
F9C07_7584,Afu2g13760,AN2419,An02g05390,myID1842
F9C07_2282647,Afu2g13770,AN2421,An02g05420,myID1843
F9C07_7607,Afu2g13780,AN2420,An02g05400,myID1844
F9C07_2283982,Afu2g16480,AN10934,An15g06910,myID2012
F9C07_10392,Afu2g16490,AN10929,An15g06920,myID2013
F9C07_10391,Afu2g16500,AN7336,An15g06925,myID2014
F9C07_2283985,Afu2g16510,AN7335,An15g06990,myID2015
F9C07_2283986,Afu2g16520,AN7334,An15g07040,myID2016
F9C07_2283996,Afu2g16530,AN7331,An15g07070,myID2017
F9C07_11821,Afu3g06670,AN4780,An11g09640,myID2212
F9C07_11822,Afu3g06680,AN4781,An11g09630,myID2213
F9C07_2286558,Afu3g06690,AN4782,An11g09620,myID2214
F9C07_11824,Afu3g06700,AN4783,An11g09610,myID2215
F9C07_2236026,Afu3g06740,AN4785,An11g09590,myID2216
F9C07_11830,Afu3g06750,AN4786,An11g09580,myID2217
F9C07_11832,Afu3g06770,AN4788,An11g09560,myID2218
F9C07_1484,Afu3g08080,AN11691,An02g11570,myID2299
F9C07_1479,Afu3g08100,AN2927,An02g11590,myID2300
F9C07_2279713,Afu3g08110,AN2928,An02g11620,myID2301
F9C07_1477,Afu3g08120,AN10349,An02g11630,myID2302
F9C07_1476,Afu3g08130,AN10374,An02g11650,myID2303
F9C07_2279568,Afu3g09620,AN3072,An16g03120,myID2406
F9C07_1301,Afu3g09630,AN3073,An16g03130,myID2407
F9C07_1299,Afu3g09640,AN3074,An16g03190,myID2408
F9C07_2279561,Afu3g09670,AN3075,An16g03290,myID2409
F9C07_1293,Afu3g09690,AN3079,An16g03330,myID2410
F9C07_1292,Afu3g09700,AN3080,An16g03320,myID2411
F9C07_2228091,Afu3g09710,AN3081,An16g03300,myID2412
F9C07_2228090,Afu3g09720,AN3082,An16g03340,myID2413
F9C07_2228088,Afu3g09740,AN5011,An16g03370,myID2414
F9C07_1286,Afu3g09750,AN5010,An16g03380,myID2415
F9C07_1285,Afu3g09760,AN11776,An16g03390,myID2416
F9C07_1267990,Afu3g10720,AN4917,An02g06380,myID2501
F9C07_2571,Afu3g10730,AN4916,An02g06390,myID2502
F9C07_2130128,Afu3g10740,AN4915,An02g06400,myID2503
F9C07_2566,Afu3g10750,AN4914,An02g06420,myID2504
F9C07_2565,Afu3g10760,AN4913,An02g06430,myID2505
F9C07_2226062,Afu3g10770,AN4912,An02g06440,myID2506
F9C07_2217863,Afu3g10790,AN4910,An02g06460,myID2507
F9C07_2492,Afu3g11460,AN2898,An02g07300,myID2561
F9C07_1273009,Afu3g11470,AN2897,An02g07310,myID2562
F9C07_2490,Afu3g11480,AN2896,An02g07320,myID2563
F9C07_2277815,Afu3g11500,AN2895,An02g07340,myID2564
F9C07_2277816,Afu3g11550,AN2894,An02g07350,myID2565
F9C07_1048124,Afu3g12650,AN3107,An02g08610,myID2637
F9C07_3989,Afu3g12660,AN3108,An02g08620,myID2638
F9C07_2157492,Afu3g12670,AN3110,An02g08630,myID2639
F9C07_3985,Afu3g12690,AN3112,An02g08660,myID2640
F9C07_2283503,Afu3g12710,AN3114,An02g08680,myID2641
F9C07_2283502,Afu3g12730,AN3116,An02g08700,myID2642
F9C07_2283457,Afu3g13850,AN3153,An02g09560,myID2694
F9C07_1530632,Afu3g13870,AN3152,An02g09610,myID2695
F9C07_2232535,Afu3g13890,AN3151,An02g09710,myID2696
F9C07_3900,Afu3g13900,AN3150,An02g09720,myID2697
F9C07_3899,Afu3g13910,AN11377,An02g09730,myID2698
F9C07_1530001,Afu3g13920,AN3154,An02g09740,myID2699
F9C07_3895,Afu3g13930,AN3145,An09g04790,myID2700
F9C07_5258,Afu4g03180,AN7182,An14g02190,myID2776
F9C07_2280507,Afu4g03210,AN7180,An14g02170,myID2777
F9C07_1836359,Afu4g03321,AN7175,An14g01980,myID2778
F9C07_2280517,Afu4g03320,AN7173,An14g02010,myID2780
F9C07_2280571,Afu4g03370,AN10905,An14g01850,myID2782
F9C07_2063014,Afu4g03390,AN10902,An14g02450,myID2783
F9C07_2280568,Afu4g03410,AN7169,An14g02460,myID2784
F9C07_2280581,Afu4g03460,AN7170,An14g02540,myID2785
F9C07_2280597,Afu4g03490,AN7159,An14g02470,myID2786
F9C07_5372,Afu4g03510,AN7150,An14g02590,myID2787
F9C07_2063612,Afu4g03595,AN7148,An14g01685,myID2788
F9C07_2280645,Afu4g03620,AN7149,An14g01630,myID2789
F9C07_2062151,Afu4g04040,AN7043,An14g00830,myID2823
F9C07_13364,Afu4g04060,AN7042,An14g00810,myID2824
F9C07_2063875,Afu4g04070,AN7041,An14g00800,myID2825
F9C07_13362,Afu4g04075,AN7040,An14g00780,myID2826
F9C07_2086842,Afu4g04080,AN7039,An14g00770,myID2827
F9C07_13359,Afu4g04090,AN7038,An14g00760,myID2828
F9C07_13413,Afu4g04310,AN7016,An14g00540,myID2844
F9C07_2229982,Afu4g04318,AN7011,An14g00530,myID2845
F9C07_2063677,Afu4g04320,AN7012,An14g00520,myID2846
F9C07_2281228,Afu4g04330,AN7013,An14g00510,myID2847
F9C07_2146929,Afu4g04350,AN7014,An14g00500,myID2848
F9C07_13418,Afu4g04355,AN12062,An14g00490,myID2849
F9C07_2062373,Afu4g04370,AN12061,An14g00470,myID2851
F9C07_5134,Afu4g06000,AN4308,An04g00210,myID2900
F9C07_5133,Afu4g06010,AN4309,An04g00220,myID2901
F9C07_5132,Afu4g06020,AN4310,An04g00230,myID2902
F9C07_5130,Afu4g06030,AN4311,An04g00250,myID2903
F9C07_5128,Afu4g06040,AN4312,An04g00270,myID2904
F9C07_2282107,Afu4g06060,AN4314,An04g00300,myID2905
F9C07_2201900,Afu4g06080,AN4316,An04g00340,myID2906
F9C07_5123,Afu4g06090,AN4317,An04g00360,myID2907
F9C07_2282103,Afu4g06100,AN4318,An04g00370,myID2908
F9C07_5121,Afu4g06110,AN4319,An04g00380,myID2909
F9C07_5032,Afu4g06970,AN4407,An04g01290,myID2966
F9C07_2230897,Afu4g06980,AN4429,An04g01380,myID2967
F9C07_5030,Afu4g06990,AN4428,An04g01390,myID2968
F9C07_1410641,Afu4g07000,AN4426,An04g01410,myID2969
F9C07_1410639,Afu4g07010,AN4425,An04g01420,myID2970
F9C07_5025,Afu4g07030,AN4423,An04g01430,myID2971
F9C07_2230880,Afu4g07040,AN4422,An04g01440,myID2972
F9C07_1407666,Afu4g07050,AN4421,An04g01450,myID2973
F9C07_5013,Afu4g07060,AN10552,An04g01460,myID2974
F9C07_2230877,Afu4g07070,AN10554,An04g01470,myID2975
F9C07_1408359,Afu4g07080,AN4419,An04g01480,myID2976
F9C07_2150734,Afu4g07090,AN4418,An04g01500,myID2977
F9C07_5009,Afu4g07100,AN4417,An04g01520,myID2978
F9C07_5008,Afu4g07110,AN4416,An04g01530,myID2979
F9C07_4842,Afu4g08590,AN1690,An04g03380,myID3098
F9C07_1394405,Afu4g08600,AN1689,An04g03400,myID3099
F9C07_4840,Afu4g08610,AN1688,An04g03420,myID3100
F9C07_2066789,Afu4g08620,AN1686,An04g03440,myID3101
F9C07_2281864,Afu4g08630,AN1685,An04g03460,myID3102
F9C07_4837,Afu4g08640,AN11312,An04g03470,myID3103
F9C07_1981,Afu4g10090,AN2043,An04g06970,myID3182
F9C07_2132562,Afu4g10100,AN2042,An04g06960,myID3183
F9C07_2100668,Afu4g10110,AN2020,An04g06950,myID3184
F9C07_1990,Afu4g10150,AN2017,An04g06920,myID3185
F9C07_2016,Afu4g10380,AN1997,An04g06430,myID3205
F9C07_1337004,Afu4g10390,AN1996,An04g06420,myID3206
F9C07_2132340,Afu4g10400,AN1995,An04g06400,myID3207
F9C07_2022,Afu4g10410,AN1993,An04g06380,myID3208
F9C07_2278197,Afu4g10420,AN1992,An04g06370,myID3209
F9C07_2024,Afu4g10430,AN10249,An04g06320,myID3210
F9C07_2278119,Afu4g11460,AN5591,An04g05130,myID3287
F9C07_2120,Afu4g11477,AN5581,An04g05110,myID3288
F9C07_2124,Afu4g11500,AN5585,An04g05000,myID3289
F9C07_2125,Afu4g11510,AN5586,An04g04990,myID3290
F9C07_2278113,Afu4g11520,AN5587,An04g04980,myID3291
F9C07_2278112,Afu4g11530,AN5588,An04g04970,myID3292
F9C07_2128,Afu4g11540,AN5589,An04g04890,myID3293
F9C07_2278110,Afu4g11550,AN5580,An04g04940,myID3294
F9C07_2278108,Afu4g11560,AN5579,An04g04950,myID3295
F9C07_2278107,Afu4g11570,AN5578,An04g04880,myID3296
F9C07_2283837,Afu5g02730,AN8120,An02g09950,myID3537
F9C07_2159089,Afu5g02740,AN8119,An02g09940,myID3538
F9C07_2283835,Afu5g02750,AN8118,An02g09930,myID3539
F9C07_2283833,Afu5g02760,AN8117,An02g09910,myID3540
F9C07_10564,Afu5g02770,AN8116,An02g09830,myID3541
F9C07_2158878,Afu5g02780,AN12449,An02g09810,myID3542
F9C07_6783,Afu5g07960,AN7736,An03g04080,myID3840
F9C07_6784,Afu5g07970,AN7729,An03g04060,myID3841
F9C07_2284391,Afu5g07980,AN7727,An03g03960,myID3842
F9C07_6786,Afu5g08000,AN7726,An03g03940,myID3843
F9C07_6787,Afu5g08010,AN7733,An03g04140,myID3844
F9C07_1622065,Afu5g08020,AN7734,An03g04180,myID3845
F9C07_6790,Afu5g08030,AN7735,An03g04190,myID3846
F9C07_6792,Afu5g08040,AN11007,An03g04215,myID3847
F9C07_2284385,Afu5g08050,AN11005,An03g04230,myID3848
F9C07_2092408,Afu5g08060,AN7731,An03g04250,myID3849
F9C07_2284382,Afu5g08090,AN7725,An03g04280,myID3850
F9C07_2284381,Afu5g08100,AN7724,An03g04310,myID3851
F9C07_2284380,Afu5g08110,AN7723,An03g04320,myID3852
F9C07_6800,Afu5g08120,AN7722,An03g04330,myID3853
F9C07_11723,Afu5g08690,AN4707,An07g04790,myID3893
F9C07_2286644,Afu5g08700,AN4706,An07g04780,myID3894
F9C07_2171408,Afu5g08712,AN4705,An07g04770,myID3895
F9C07_2171440,Afu5g08740,AN4697,An07g04730,myID3896
F9C07_2074696,Afu5g08750,AN4698,An07g04700,myID3897
F9C07_2286649,Afu5g08770,AN4699,An07g04660,myID3898
F9C07_2236134,Afu5g08780,AN4700,An07g04650,myID3899
F9C07_1811965,Afu5g08790,AN4701,An07g04640,myID3900
F9C07_11713,Afu5g08800,AN4702,An07g04620,myID3901
F9C07_2286662,Afu5g08820,AN4696,An07g04590,myID3902
F9C07_2074081,Afu5g08830,AN4695,An07g04570,myID3903
F9C07_11701,Afu5g08840,AN4694,An07g04540,myID3904
F9C07_11698,Afu5g08850,AN10580,An07g04520,myID3905
F9C07_2236150,Afu5g08870,AN10588,An07g04510,myID3906
F9C07_2075280,Afu5g09550,AN8806,An07g03380,myID3948
F9C07_2286756,Afu5g09560,AN8805,An07g03370,myID3949
F9C07_2286757,Afu5g09570,AN8804,An07g03360,myID3950
F9C07_11572,Afu5g09620,AN8799,An07g03280,myID3951
F9C07_11571,Afu5g09630,AN8798,An07g03250,myID3952
F9C07_11570,Afu5g09640,AN8797,An07g03220,myID3953
F9C07_11569,Afu5g09650,AN8796,An07g03210,myID3954
F9C07_2286771,Afu5g09660,AN8795,An07g03200,myID3955
F9C07_2286770,Afu5g09670,AN8794,An07g03190,myID3956
F9C07_2286768,Afu5g09680,AN8793,An07g03170,myID3957
F9C07_11563,Afu5g09830,AN8791,An07g03130,myID3964
F9C07_11562,Afu5g09840,AN8790,An07g03140,myID3965
F9C07_11560,Afu5g09850,AN8787,An07g03150,myID3966
F9C07_8774,Afu6g02090,AN8674,An12g08760,myID4238
F9C07_1683385,Afu6g02100,AN8675,An12g08750,myID4239
F9C07_8776,Afu6g02110,AN8676,An12g08730,myID4240
F9C07_8777,Afu6g02120,AN8677,An12g08720,myID4241
F9C07_2285141,Afu6g02130,AN8679,An12g08690,myID4242
F9C07_8779,Afu6g02140,AN8680,An12g08680,myID4243
F9C07_2070284,Afu6g02160,AN8682,An12g08670,myID4244
F9C07_8818,Afu6g02535,AN8714,An12g07920,myID4269
F9C07_1684461,Afu6g02540,AN11104,An12g07930,myID4270
F9C07_8820,Afu6g02550,AN11107,An12g07950,myID4271
F9C07_8821,Afu6g02570,AN8721,An12g07960,myID4272
F9C07_8823,Afu6g02600,AN8720,An12g08020,myID4273
F9C07_1683767,Afu6g02620,AN8718,An12g08000,myID4274
F9C07_2164831,Afu6g02630,AN8722,An12g08030,myID4275
F9C07_8828,Afu6g02650,AN8723,An12g08060,myID4276
F9C07_3008,Afu6g07680,AN10236,An11g02470,myID4543
F9C07_2055676,Afu6g07690,AN10239,An11g02520,myID4544
F9C07_3011,Afu6g07710,AN1917,An11g02540,myID4545
F9C07_3012,Afu6g07720,AN1918,An11g02550,myID4546
F9C07_2225649,Afu6g07730,AN1920,An11g02580,myID4547
F9C07_3016,Afu6g07740,AN1921,An11g02590,myID4548
F9C07_3018,Afu6g07760,AN1922,An11g02610,myID4549
F9C07_3019,Afu6g07770,AN1923,An11g02620,myID4550
F9C07_2277374,Afu6g07780,AN1924,An11g02700,myID4551
F9C07_2277373,Afu6g07800,AN1927,An11g02690,myID4552
F9C07_3023,Afu6g07810,AN1929,An11g02670,myID4553
F9C07_1228594,Afu6g07830,AN1931,An11g02650,myID4554
F9C07_3026,Afu6g07840,AN1932,An11g02640,myID4555
F9C07_2053896,Afu6g07850,AN1943,An11g02630,myID4556
F9C07_2287060,Afu7g01460,AN3413,An12g01350,myID4930
F9C07_12373,Afu7g01480,AN3411,An12g01330,myID4931
F9C07_12377,Afu7g01490,AN3408,An12g01210,myID4932
F9C07_12386,Afu7g01510,AN3416,An12g01190,myID4933
F9C07_2236632,Afu7g01520,AN11837,An12g01180,myID4934
F9C07_12388,Afu7g01530,AN3417,An12g01170,myID4935
F9C07_2135099,Afu7g05330,AN6684,An07g02880,myID5097
F9C07_2227263,Afu7g05340,AN6685,An07g02870,myID5098
F9C07_2135109,Afu7g05360,AN6687,An07g02860,myID5099
F9C07_1016481,Afu7g05370,AN6688,An07g02840,myID5100
F9C07_2249065,Afu7g05380,AN6689,An07g02820,myID5101
F9C07_391,Afu7g05390,AN6690,An07g02810,myID5102
